Date,Product_ID,Customer_ID,Quantity,Unit Price,Revenue,Profit
2024-03-08,P017,C039,4,1932.29,7729.16,2208.86
2024-06-25,P007,C046,3,858.09,2574.27,603.25
2024-04-05,P015,C034,4,329.91,1319.64,191.27
2024-03-27,P001,C038,5,537.22,2686.1,386.92
2024-01-19,P002,C015,1,1820.3,1820.3,494.99
2024-01-19,P017,C016,3,1371.06,4113.18,587.56
2024-02-03,P019,C037,4,561.69,2246.76,437.21
2024-04-14,P007,C007,1,1352.07,1352.07,231.01
2024-04-15,P015,C047,1,1379.39,1379.39,409.45
2024-01-26,P002,C026,3,1621.13,4863.39,592.62
2024-02-19,P007,C035,4,366.35,1465.4,200.32
2024-04-28,P008,C005,4,1635.24,6540.96,1773.87
2024-01-26,P002,C042,5,1688.45,8442.25,2480.33
2024-03-01,P006,C027,4,1014.58,4058.32,1107.64
2024-01-16,P006,C025,1,1972.09,1972.09,301.81
2024-04-26,P010,C028,5,1357.56,6787.8,1339.47
2024-02-18,P010,C014,1,1200.44,1200.44,250.22
2024-03-21,P002,C004,5,1005.9,5029.5,1427.76
2024-05-15,P006,C004,5,252.21,1261.05,172.97
2024-06-01,P003,C044,2,867.17,1734.34,500.04
2024-05-25,P008,C038,5,175.51,877.55,102.14
2024-06-17,P019,C037,5,701.1,3505.5,533.37
2024-06-20,P011,C016,3,851.99,2555.97,598.96
2024-03-17,P015,C021,1,117.7,117.7,26.39
2024-05-24,P004,C005,5,504.99,2524.95,386.42
2024-03-30,P003,C016,3,641.48,1924.44,361.1
2024-05-19,P010,C040,5,114.86,574.3,151.28
2024-03-17,P004,C009,3,319.31,957.93,116.3
2024-05-21,P005,C018,3,1249.18,3747.54,912.61
2024-02-22,P009,C033,4,577.13,2308.52,650.15
2024-01-14,P003,C041,4,1675.76,6703.04,729.41
2024-03-26,P005,C041,3,407.01,1221.03,230
2024-06-29,P014,C036,1,312.56,312.56,90.33
2024-06-25,P005,C035,1,1685.73,1685.73,364.96
2024-02-07,P014,C009,1,685.69,685.69,191.85
